idUslugi;cena;kosztaWlasne;przychod;czasTrwania;satysfakcjaKlienta;idDnia_FK;idPracownika_FK;idSalonu_FK;idKlienta_FK;idMiejscowosci_FK;idTypuUslugi_FK
57;307,8;12,52;295,28;162;4;1829;594;28;7478;13;30
58;272,79;35,59;237,2;150;5;543;988;30;6496;35;19
59;160,68;10,78;149,9;394;4;1512;868;5;16800;13;23
60;283,18;10,85;272,33;66;5;3490;258;17;15055;28;39
61;190,06;24,51;165,55;95;1;2495;608;2;6783;42;10
62;349,24;22,67;326,57;68;3;2438;438;4;11993;15;15
63;236,55;36,23;200,32;247;1;2180;668;23;7235;28;3
64;171,71;29,86;141,85;319;3;2371;501;31;16901;38;28
65;372,38;15,56;356,82;32;5;2888;315;28;5732;2;28
66;236,07;13,71;222,36;61;4;2149;885;6;7407;22;21
67;250,03;37,59;212,44;95;5;1481;238;4;18394;9;24
68;301,86;34,29;267,57;207;5;1593;90;27;13994;14;20
69;385,91;28,6;357,31;273;4;2042;31;11;859;34;14
70;282,28;9,36;272,92;380;4;2327;419;2;19615;31;2
71;267,15;25,22;241,93;287;1;1741;620;22;5275;38;16
72;307,82;23,53;284,29;46;4;1481;622;26;8104;38;29
73;150,31;23,05;127,26;152;4;2251;939;27;5160;38;38
74;204,35;34,11;170,24;288;5;3101;247;6;3899;37;16
75;252,86;38,03;214,83;126;5;1754;582;24;16985;35;17
76;224,25;33,71;190,54;296;3;150;694;32;17727;40;13
77;151,69;21;130,69;249;4;3529;13;23;4900;1;5
78;171,98;16,2;155,78;316;4;3381;626;27;5104;20;26
79;156,37;10,42;145,95;211;5;3619;96;4;14750;28;24
80;355,02;26,24;328,78;59;4;1266;444;30;11296;48;22
81;140,69;12,91;127,78;379;5;745;671;28;14450;21;12
82;98,78;28,42;70,36;17;4;548;246;3;12069;29;14
83;207,39;18,81;188,58;220;5;1847;446;6;3679;23;20
84;336,49;12,34;324,15;351;3;773;744;24;6366;31;19
85;204,57;9,5;195,07;331;5;1617;758;32;12470;22;1
86;139,13;19,87;119,26;240;5;3424;246;24;7739;35;11
87;175,82;17,4;158,42;407;3;657;600;16;8210;17;20
88;319,07;27,86;291,21;199;5;2832;678;32;2926;30;26
89;160,91;31,23;129,68;221;4;494;259;27;8134;2;39
90;339,28;8,28;331;352;5;3009;371;29;6934;23;17
91;280,88;41,46;239,42;68;5;826;468;30;5131;29;14
92;98,01;20,41;77,6;272;5;2650;643;29;4629;34;7
93;224,5;41,39;183,11;374;2;2857;298;28;18480;37;35
94;254,04;18,35;235,69;302;4;2357;579;32;17641;33;17
95;277,82;34,26;243,56;23;4;2307;603;18;14267;10;26
96;370,85;25,55;345,3;35;2;3050;668;20;2804;38;16
97;150,75;40,11;110,64;106;3;3248;587;21;4608;39;23
98;209,9;20,4;189,5;18;5;507;399;31;13375;40;26
99;184,38;11,17;173,21;64;4;2189;570;20;3215;13;38
100;243,64;15,15;228,49;360;4;873;834;27;7638;30;19
101;375,88;34,82;341,06;116;4;2394;606;5;6115;21;15
102;345,26;36,31;308,95;228;5;3260;589;32;16602;10;17
103;178,67;15,56;163,11;339;5;1779;727;31;11599;19;39
104;126,48;13,7;112,78;72;4;963;599;32;10120;35;13
105;323,77;9,41;314,36;152;3;659;484;22;9760;35;9
106;357,81;38,75;319,06;282;4;3087;651;25;11656;16;37
107;313,26;20;293,26;277;5;2797;628;25;5456;42;10
108;288,07;7,2;280,87;157;3;1527;54;27;4379;19;14
109;154,8;25,96;128,84;83;5;1670;250;9;7506;35;8
110;350,72;32,03;318,69;269;4;3308;137;28;7855;9;35
111;226,27;33,38;192,89;350;3;2108;757;21;10945;16;11
112;303,07;35,8;267,27;336;5;418;612;17;3372;12;27
113;357,29;18,29;339;30;1;3400;760;1;16190;12;27
114;132,32;17,1;115,22;228;5;2480;637;30;14780;21;19
115;188,84;23,23;165,61;171;4;3056;257;32;10089;19;30
116;156,95;17,35;139,6;373;4;3402;942;29;8071;1;9
117;111,37;8,57;102,8;172;5;1817;234;31;15714;17;17
118;372,4;11,8;360,6;114;4;3465;624;22;57;32;32
119;141,84;29,17;112,67;169;5;1014;610;20;6654;31;25
120;228,16;31,23;196,93;50;1;2989;634;23;51;40;24
121;376,8;22,38;354,42;263;4;2965;728;33;9935;9;39
122;227,83;20,67;207,16;152;2;1640;993;27;4642;34;19
123;114,86;10,2;104,66;110;3;920;649;7;10556;12;17
124;319,56;32,55;287,01;36;5;895;127;25;14646;48;10
125;222,04;14,29;207,75;387;5;1937;720;28;11747;17;10
126;146,39;25,92;120,47;237;4;2315;395;21;13156;46;20
127;210,13;37,59;172,54;319;2;1721;308;9;17486;43;30
128;225,95;8,42;217,53;299;5;141;425;26;16027;18;11
129;162,85;30,55;132,3;64;4;2284;605;7;17947;38;37
130;205,07;8,19;196,88;273;5;743;149;22;19044;34;3
131;148,93;39,44;109,49;241;4;1679;701;22;12782;24;27
132;307,95;14,26;293,69;103;4;2785;629;20;18073;10;16
133;229,05;27,02;202,03;304;5;2365;229;7;13708;34;15
134;222,57;10,77;211,8;399;5;3224;617;29;12601;22;21
135;255,43;20,01;235,42;88;4;2861;807;23;15895;34;29
136;231,92;29,12;202,8;67;2;2682;644;20;8504;8;18
137;309,82;41,23;268,59;165;4;3305;464;30;9390;27;39
138;388,84;38,6;350,24;142;5;1780;716;29;17420;15;21
139;179,71;21,64;158,07;322;5;2224;623;16;19719;34;33
140;201,28;35,65;165,63;315;4;3566;266;18;9700;12;19
141;323,12;27,45;295,67;238;4;1268;583;6;4894;10;21
142;189,58;35,53;154,05;219;5;2397;346;21;4079;10;36
143;293,79;17,02;276,77;264;3;324;233;22;8539;27;11
144;124,86;39,7;85,16;279;4;1784;274;9;14797;12;16
145;323,21;29,08;294,13;314;3;1445;584;20;6601;22;33
146;324,3;34,15;290,15;207;4;1850;606;33;17834;20;22
147;236,92;22,09;214,83;331;5;3339;351;29;14429;23;26
148;99,42;26,06;73,36;200;3;3614;96;27;3683;35;37
149;156,64;25,42;131,22;247;4;1533;205;32;7073;45;12
150;176,96;23,99;152,97;278;5;2101;607;30;4869;23;30
151;126,63;26,39;100,24;219;4;2024;656;32;13094;33;19
152;323,51;8,66;314,85;70;4;3165;798;20;18689;6;7
153;268,99;31,34;237,65;294;5;2373;668;33;14892;43;26
154;175,94;19,72;156,22;37;5;2944;109;17;3677;20;36
155;160,71;29,11;131,6;255;5;2452;49;26;9350;17;23
156;107,81;30,72;77,09;257;1;1651;158;28;14973;16;33
157;326,74;34,79;291,95;64;5;2342;593;23;5456;37;28
158;102,56;10,28;92,28;230;2;1685;422;29;6237;29;12
159;192,81;39,86;152,95;368;5;276;658;23;4187;22;21
160;327,32;14,98;312,34;389;5;1925;332;25;9469;33;32
161;242,25;13,7;228,55;16;4;242;694;5;6901;29;35
162;107,2;11,39;95,81;123;4;1433;838;20;10613;41;12
163;387,84;19,54;368,3;83;5;1447;794;22;10996;32;32
164;185,84;7,79;178,05;185;5;1327;506;33;11099;20;31
165;106,58;33,86;72,72;173;3;2618;255;11;9827;30;7
166;216,19;30,41;185,78;255;5;2754;189;7;15974;36;7
167;180,25;23,47;156,78;209;5;3499;314;16;10280;18;2
168;112,81;29,73;83,08;356;5;1176;600;10;6927;38;33
169;375,18;38,96;336,22;228;4;3354;588;30;3730;34;12
170;263,32;29,2;234,12;194;4;491;600;24;16484;36;15
171;309,78;34,72;275,06;182;5;2817;526;16;10341;1;23
172;204,3;7,81;196,49;285;5;3155;893;23;10259;8;28
173;227,68;9,69;217,99;341;5;1954;627;23;15941;36;21
174;195;12,55;182,45;355;5;2522;645;21;3777;7;36
175;311,17;25,47;285,7;414;4;2283;583;32;10142;16;35
176;167,14;17,46;149,68;127;4;1949;146;17;4202;40;16
177;190,38;16,32;174,06;244;4;2078;854;32;1233;19;14
178;281,42;21,28;260,14;122;3;3015;342;24;5535;24;26
179;265,89;22,51;243,38;168;5;1353;743;32;4790;10;16
180;262,44;41,14;221,3;253;2;2631;962;25;4347;34;23
181;208,84;34,16;174,68;343;5;2754;36;28;15538;47;37
182;223,46;36,78;186,68;366;5;2328;618;27;7310;9;17
183;115,27;26,58;88,69;269;5;2903;687;29;8186;17;5
184;367,6;7,11;360,49;182;4;3020;995;15;17435;11;33
185;359,86;11,91;347,95;109;3;3119;858;23;10283;19;16
186;201,47;41,04;160,43;281;5;675;322;11;12935;42;39
187;362,36;14,8;347,56;263;5;1713;106;31;17557;4;19
188;165,78;31,7;134,08;373;5;3454;922;14;8700;15;28
189;302,2;13,65;288,55;254;5;3205;236;11;7655;43;9
190;232,31;35,95;196,36;370;4;2225;620;18;13784;10;22
191;321,12;37,02;284,1;361;4;3226;627;13;10029;26;27
192;279,77;27,9;251,87;387;3;2315;288;33;7579;31;17
193;384,85;40,17;344,68;32;4;3026;282;6;10315;29;29
194;102,17;30,35;71,82;141;5;1901;790;32;14440;11;20
195;253,69;36,98;216,71;173;5;1663;597;9;15782;32;28
196;259,71;41,11;218,6;367;3;1488;664;29;18468;47;17
197;256,83;34,37;222,46;263;3;1626;249;16;19130;44;28
198;222,66;21,37;201,29;132;4;2049;258;32;16014;7;14
199;247,13;12,49;234,64;224;4;596;961;32;4122;25;36
200;345,41;25,51;319,9;314;4;1340;586;12;19905;19;39
201;194,82;15,42;179,4;61;5;2703;247;21;7356;32;33
202;297,06;21,73;275,33;259;4;2144;633;16;11965;21;12
203;342,51;7,45;335,06;358;4;1511;605;30;12302;12;22
204;106,94;40,18;66,76;324;5;3407;608;32;14837;3;14
205;340,57;12,07;328,5;41;4;3337;232;21;8178;40;16
206;142,72;14,43;128,29;203;3;3231;333;27;12582;25;20
207;189,16;36,57;152,59;297;5;3196;599;19;12527;29;16
208;205,7;15,53;190,17;102;5;2118;253;22;5944;36;6
209;263,82;11,46;252,36;348;5;2248;794;30;9057;40;23
210;301,31;38,25;263,06;188;2;3194;616;12;12678;36;1
211;323,54;28,61;294,93;248;5;2101;962;26;7229;7;17
212;158,97;37,19;121,78;301;5;2294;246;30;19917;38;10
213;153,57;17,09;136,48;124;5;1998;246;23;2684;17;14
214;153,88;33,72;120,16;177;3;2956;459;18;4471;45;35
215;313,65;16,09;297,56;296;4;282;25;19;8702;32;35
216;385,25;28,7;356,55;64;5;2954;874;25;8224;34;22
217;268,59;41,85;226,74;258;4;612;134;21;11301;18;24
218;103,33;41,33;62;308;4;1360;471;22;9080;47;15
219;321,73;20,06;301,67;399;1;1813;682;10;15565;4;35
220;138,55;29,15;109,4;40;4;2824;261;23;4874;21;39
221;303,46;31,63;271,83;142;5;2853;586;4;9097;28;18
222;206,29;16,36;189,93;379;5;194;918;25;9944;22;13
223;179,75;34,02;145,73;287;5;793;625;27;18500;25;13
224;178,9;33,6;145,3;84;3;2423;196;22;14047;28;20
225;227,2;25,12;202,08;129;5;2398;259;32;9888;14;23
226;220,11;30,93;189,18;280;3;748;452;24;8524;3;24
227;151,79;10,25;141,54;186;5;3449;667;31;15470;4;27
228;336,6;8,19;328,41;46;5;1604;370;21;2730;27;14
229;230,07;10,71;219,36;135;4;361;636;28;16333;32;25
230;215,08;28,99;186,09;30;4;2940;640;18;2851;37;13
231;282,88;38,77;244,11;281;2;226;353;27;19222;11;39
232;263,34;11,18;252,16;158;5;253;513;27;12407;36;20
233;366,82;34;332,82;81;5;2458;464;17;3097;43;4
234;316,3;39,26;277,04;128;5;3467;580;16;19314;3;10
235;170,23;13,93;156,3;365;3;3161;964;16;14464;30;21
236;224,22;36,43;187,79;232;3;1651;238;28;19127;28;23
237;319,49;14,43;305,06;250;3;1452;817;29;9121;34;17
238;254,98;10,56;244,42;60;1;3090;590;5;16138;35;27
239;102,46;22,16;80,3;142;3;2164;644;29;12673;1;13
240;328,21;34;294,21;313;2;3607;619;29;10026;4;27
241;222,77;20,02;202,75;227;4;3461;615;10;6347;33;32
242;371,67;31,54;340,13;403;5;1616;95;7;2810;28;24
243;319,69;32,55;287,14;212;5;739;945;33;10273;43;13
244;191,89;20,76;171,13;179;5;2578;346;30;17250;20;24
245;354,59;36,07;318,52;280;4;3141;582;30;404;29;16
246;317,45;28,72;288,73;74;4;3564;228;28;8825;40;32
247;182,89;28,92;153,97;68;5;2438;600;30;7930;34;9
248;181,88;21,35;160,53;122;5;79;944;16;5178;38;14
249;189,24;7,56;181,68;152;1;2312;585;23;9153;24;39
250;229,44;35,82;193,62;407;5;2783;614;21;8327;41;36
251;267,77;41,61;226,16;393;5;2158;586;31;17424;16;31
252;248,29;32,97;215,32;75;5;2609;588;20;5678;28;32
253;300,96;14,57;286,39;402;4;3555;492;13;3125;43;15
254;332,92;33,71;299,21;37;4;2445;246;24;5816;10;10
255;274,68;26,73;247,95;168;3;2097;106;7;10187;5;25
256;205,79;41,72;164,07;273;4;776;187;30;17708;31;27
257;307,12;30,99;276,13;208;5;3549;398;33;12430;27;10
258;208,18;29,87;178,31;183;5;3090;228;17;18501;18;11
259;219,55;9,67;209,88;188;2;1610;231;31;16190;20;21
260;190,86;14,42;176,44;115;2;2860;191;21;14905;33;20
261;310,24;17,49;292,75;75;5;2018;383;28;8599;45;27
262;181,7;10,95;170,75;82;5;2064;588;20;7590;17;16
263;263,49;10,44;253,05;55;4;2539;497;19;15167;42;15
264;143,3;40,64;102,66;95;2;907;206;18;9365;30;25
265;207,21;28,86;178,35;293;1;3029;610;11;17377;35;38
266;151,79;19,61;132,18;23;5;2844;956;31;5145;31;29
267;98,34;18,49;79,85;372;5;3119;237;29;8228;15;19
268;97,56;19,81;77,75;377;2;2414;500;3;10848;45;2
269;302,54;31,43;271,11;405;4;1194;748;28;19820;32;33
270;388,76;18,93;369,83;236;5;1542;771;29;15118;19;13
271;101,45;32,81;68,64;61;4;3050;600;30;6541;48;30
272;301,1;17,78;283,32;391;5;2246;599;26;3979;3;33
273;113,96;10,58;103,38;344;5;2684;235;18;11861;16;25
274;167,64;11,47;156,17;335;5;3408;878;3;15496;42;25
275;125,51;11,26;114,25;102;5;2969;589;29;9227;17;15
276;376,03;12,03;364;253;5;3272;229;14;18043;31;13
277;257,82;37,61;220,21;296;3;472;604;25;12057;17;36
278;336,99;20,64;316,35;223;5;2300;512;21;5200;27;29
279;315,98;16,5;299,48;128;4;915;652;29;10616;7;12
280;364,14;15,87;348,27;297;5;2192;517;31;3748;25;1
281;90,98;38,38;52,6;226;3;325;205;29;10423;26;1
282;105,67;28,18;77,49;222;4;2696;638;18;6176;15;21
283;281,36;23,61;257,75;401;5;2927;930;18;15378;2;32
284;348,86;27,97;320,89;356;5;332;248;29;16676;9;37
285;206,2;20;186,2;21;4;1902;600;23;14782;5;18
286;350,77;36,3;314,47;275;1;3149;792;17;7122;17;10
287;295,33;37;258,33;122;5;229;858;16;2220;25;19
288;354,74;16,72;338,02;335;4;3196;312;16;4851;19;35
289;277,6;29,44;248,16;279;5;1511;821;23;12719;15;36
290;286,33;19,5;266,83;385;5;2004;231;22;12964;45;27
291;281,48;41,91;239,57;152;5;1356;596;1;18141;23;14
292;296,67;17,69;278,98;119;5;3372;398;25;18864;14;13
293;226,65;30,8;195,85;113;4;2250;438;18;14536;42;22
294;92,16;9,66;82,5;213;4;3171;740;26;7301;20;18
295;176,04;31,84;144,2;324;5;3245;594;30;4097;7;23
296;160,05;38,12;121,93;56;3;2483;619;11;16121;13;22
297;314,48;28,21;286,27;68;4;1619;633;16;10230;36;13
298;136,9;18,18;118,72;204;3;1348;231;27;7127;2;24
299;254,54;34,53;220,01;40;4;2934;235;22;11570;45;13
300;178,15;34,8;143,35;86;5;3073;660;32;14111;22;39
301;180,09;27,37;152,72;71;4;1959;740;32;6069;11;38
302;103,42;37,42;66;367;5;3009;378;15;8020;46;37
303;100,71;12,59;88,12;118;2;3491;243;30;15912;13;32
304;270,95;14,17;256,78;53;3;2375;592;30;18402;28;27
305;169,87;29,39;140,48;162;4;1556;504;32;12736;38;27
306;204,33;24,99;179,34;254;5;2764;52;30;9456;16;13
307;250,28;21,28;229;257;3;2063;369;29;6145;11;13
308;285,32;17,09;268,23;195;4;796;388;8;6961;26;37
309;354,45;13,29;341,16;345;4;3009;193;5;15196;25;30
310;243,37;31,5;211,87;23;4;2377;235;33;17291;8;15
311;105,17;28,96;76,21;376;5;3047;617;22;8469;10;11
312;278,18;28,61;249,57;157;4;2727;287;9;3965;19;13
313;295,75;37,24;258,51;15;5;2858;394;8;13764;33;23
314;381;33,83;347,17;335;5;701;617;32;6320;2;15
315;212,98;41,56;171,42;294;4;2989;753;28;17061;41;16
316;266;40,67;225,33;52;5;1662;243;16;10549;48;26
317;287,54;31,96;255,58;347;5;2237;577;20;9510;18;26
318;287,9;17,86;270,04;229;5;2610;402;4;10067;41;16
319;154;10,75;143,25;389;2;1452;637;33;5228;18;20
320;343,22;20,9;322,32;379;5;501;635;24;7909;30;26
321;297,39;24,08;273,31;314;5;919;823;6;1736;14;38
322;115,3;29,04;86,26;211;1;2140;315;10;12825;34;20
323;320,41;15,93;304,48;406;5;2499;881;30;16245;36;21
324;169,81;36,3;133,51;37;4;2582;247;28;14925;23;10
325;368,02;41,87;326,15;37;3;2124;665;19;5654;11;33
326;309,9;20,8;289,1;380;4;1114;259;7;19442;37;15
327;291,37;30,13;261,24;271;5;2231;581;25;6210;9;35
328;249,39;19,84;229,55;321;4;3031;592;28;8875;14;25
329;294,14;34,75;259,39;193;4;688;234;7;8640;7;13
330;228,06;10,3;217,76;398;4;2445;529;11;2866;31;9
331;131;31,52;99,48;302;2;267;468;28;4921;11;15
332;225,75;25,8;199,95;60;2;2947;647;14;17291;20;10
333;292,11;22,51;269,6;57;4;2798;846;13;7324;1;21
334;251,5;27,51;223,99;403;4;2844;579;31;12013;27;19
335;223,21;12,59;210,62;347;5;3210;578;21;1956;38;13
336;230,45;18,57;211,88;373;4;3273;501;8;3870;26;29
337;261,25;36,23;225,02;81;2;3292;129;4;6064;42;36
338;183,31;19,61;163,7;151;4;2531;229;23;15909;34;14
339;158,51;19,62;138,89;304;3;3617;143;23;15426;25;2
340;183,92;27,72;156,2;35;4;2783;637;16;4238;9;17
341;196,91;15,69;181,22;276;4;2369;267;26;10323;44;23
342;351,78;30,96;320,82;174;3;456;125;32;9254;44;12
343;329,79;13,49;316,3;258;4;3237;745;27;10881;12;17
344;119,41;22,62;96,79;240;5;2104;656;24;12035;31;23
345;254,62;21,85;232,77;324;4;2684;856;22;15232;14;14
346;285,92;23,54;262,38;222;1;2530;747;23;8031;28;17
347;125,33;20,47;104,86;68;5;1529;613;5;7214;3;16
348;352;38,37;313,63;180;4;2354;940;20;5425;8;8
349;253,1;17,29;235,81;142;5;3167;524;11;19942;39;13
350;277,47;12,7;264,77;286;5;2113;645;11;8937;43;35
351;335,78;36,14;299,64;187;4;3120;532;19;9168;18;35
352;196,41;13,25;183,16;129;5;3358;396;25;13592;7;37
353;109,43;14,94;94,49;294;5;1362;435;17;10253;21;38
354;259,97;29,3;230,67;31;5;3034;252;20;6131;9;38
355;265,36;12,99;252,37;189;4;1277;712;29;7937;18;24
356;195,43;40,22;155,21;412;4;1714;347;14;77;32;38
357;229,87;40,53;189,34;85;3;2930;854;31;19189;5;27
358;155,32;39,53;115,79;415;5;2285;913;22;13027;29;36
359;221,75;14,9;206,85;273;4;3541;445;26;18294;41;36
360;182,91;30,34;152,57;363;5;1079;458;2;18245;42;19
361;213,54;17,67;195,87;179;2;409;656;32;11727;39;35
362;211,13;17,07;194,06;131;5;2690;662;28;9565;36;35
363;198,6;25,36;173,24;103;5;2423;262;26;13762;18;10
364;308,38;25,3;283,08;196;5;1942;234;21;11873;22;33
365;117,48;31,68;85,8;143;4;1662;654;29;4686;30;29
366;231,86;36,56;195,3;54;2;3588;472;25;14346;25;27
367;174,75;22,84;151,91;240;3;2194;893;32;8854;24;12
368;320,85;39,31;281,54;153;1;3640;597;16;1144;39;28
369;161,8;29,75;132,05;122;3;3414;644;32;4498;35;28
370;289,53;38,03;251,5;197;5;1030;585;33;4826;21;38
371;289,04;18,78;270,26;379;5;1508;266;32;18210;12;15
372;303,26;29,25;274,01;275;1;2911;771;23;8022;22;28
373;99,85;36,62;63,23;309;1;1656;496;14;9359;36;38
374;273,68;8,04;265,64;332;2;2368;660;29;17728;37;15
375;311,5;32,12;279,38;186;4;1777;667;6;10316;28;20
376;352,72;34,15;318,57;302;5;2295;98;27;13932;27;9
377;213,02;40,88;172,14;76;3;3336;20;32;11936;37;23
378;124,72;20,11;104,61;38;5;76;587;4;10181;41;38
379;341,15;17,17;323,98;74;4;2835;590;31;10896;31;35
380;192,79;29,35;163,44;273;5;1262;895;23;7731;27;23
381;333,2;20,15;313,05;242;4;2397;235;17;17459;36;2
382;224,81;9,14;215,67;117;4;1521;593;1;8934;23;5
383;297,82;14,94;282,88;167;5;3368;611;11;8959;25;4
384;106,19;32,1;74,09;55;5;3152;598;30;850;32;25
385;178,02;22,54;155,48;188;5;1645;629;32;7603;31;10
386;203,65;17,33;186,32;181;1;1286;113;28;1725;8;18
387;122,12;36,49;85,63;379;5;2268;264;30;9152;25;14
388;151,38;27,29;124,09;29;1;2192;403;32;19170;12;5
389;280,86;7,42;273,44;49;5;1753;658;26;9932;13;22
390;229,75;41,07;188,68;132;4;703;942;18;14699;18;17
391;318,47;12,89;305,58;210;5;618;30;33;14964;30;35
392;133,96;22,07;111,89;17;3;2123;989;26;13689;25;13
393;360,78;38,82;321,96;348;3;2268;592;3;6831;32;10
394;145,74;15,76;129,98;296;2;926;985;28;3857;21;8
395;287,69;12,19;275,5;19;3;1770;915;28;2720;6;35
396;348,05;15,69;332,36;135;1;2204;511;17;1166;41;17
397;247,85;14,47;233,38;179;2;3141;415;29;16050;30;18
398;321,04;40,13;280,91;225;5;191;621;22;10842;32;29
399;216,89;35,79;181,1;265;5;3637;649;33;11731;31;31
400;222,67;17,75;204,92;205;4;2020;533;31;17404;41;23
401;283,21;18,89;264,32;155;4;2417;253;32;8340;34;13
402;266,64;13,59;253,05;329;5;3179;343;27;13227;31;7
403;245,75;9,28;236,47;362;5;3165;252;7;10417;34;27
404;312,31;8,49;303,82;408;3;775;260;5;6179;17;28
405;368,24;34,01;334,23;155;4;2038;661;23;8597;29;14
406;271,38;37,08;234,3;302;3;2774;495;33;19469;19;10
407;190,55;11,83;178,72;162;4;1763;427;25;2704;25;16
408;389,79;9,67;380,12;376;5;2356;663;5;9283;38;13
409;314,44;34,06;280,38;229;5;2225;867;18;11055;17;1
410;110,41;14,29;96,12;326;4;3255;598;5;17653;19;18
411;125,28;25,27;100,01;277;3;2662;647;13;8828;33;29
412;321,83;16,78;305,05;233;4;980;635;23;16235;32;37
413;176,13;41,8;134,33;325;5;1550;266;23;3809;20;18
414;298,93;41,19;257,74;329;5;2542;380;11;6147;36;21
415;119,08;23,12;95,96;117;5;2488;654;15;3634;4;26
416;90,54;28,47;62,07;296;4;3351;750;33;11285;29;21
417;240,6;34,19;206,41;112;5;2894;244;7;11409;35;22
418;309,4;10,12;299,28;175;4;2078;667;24;8049;35;10
419;319,32;20,71;298,61;157;5;1908;601;28;13482;38;36
420;152,31;39,91;112,4;411;1;1727;164;33;5562;9;27
421;258,43;39,94;218,49;268;4;1719;641;23;9028;45;12
422;90,66;17,01;73,65;224;4;1979;634;29;8571;19;11
423;246,15;21,54;224,61;373;2;1651;103;18;13267;5;18
424;121,11;14,34;106,77;127;5;1827;625;25;14047;42;21
425;177,3;32,36;144,94;350;5;1573;578;26;4429;24;14
426;355,45;9,09;346,36;220;5;1970;480;15;12102;35;22
427;282,28;9,9;272,38;325;3;2386;283;20;4783;30;33
428;224,55;14,25;210,3;252;1;1778;665;32;9522;18;35
429;108,82;23,03;85,79;53;5;878;388;32;18210;33;15
430;350,87;8,94;341,93;222;5;2291;622;29;13777;15;8
431;311,14;31,05;280,09;306;4;2465;677;30;3937;9;5
432;101,42;13,99;87,43;347;4;2369;665;9;10376;39;16
433;151,57;41,04;110,53;172;5;2322;523;20;7082;29;31
434;145,9;7,31;138,59;134;5;3315;263;18;6637;3;25
